room_type,calculated_host_listings_count,availability_365,price,distance,cancellation_policy,size,amenities_num,security_deposit,cleaning_fee,guests_included,extra_people,bathrooms,bedrooms,beds,bed_type,accommodates
15,2,44,130,3.002474463185954,18,81.66408788315255,25,100.0,55.0,2,11.0,1.0,2.0,5.0,7,5
15,2,81,120,3.083902228753181,18,100.0,16,100.0,60.0,2,16.0,1.0,2.0,8.0,7,8
15,1,325,64,8.950844336181671,19,52.0,17,100.0,0.0,2,15.0,1.0,2.0,4.0,7,4
15,4,304,55,3.9915438363639733,18,67.52200842065463,22,800.0,50.0,2,10.0,1.0,1.0,1.0,7,3
16,1,349,29,3.5797977280098587,19,62.72547059357065,8,100.0,15.0,1,15.0,1.0,1.0,2.0,7,3
15,1,302,150,2.324782623205318,18,100.0,24,120.0,45.0,1,0.0,1.0,3.0,6.0,7,6
15,2,311,76,5.1825374812908205,20,75.12850644617491,14,100.0,40.0,2,20.0,1.0,1.0,4.0,7,4
15,2,291,79,1.0056860998789952,19,48.0,16,100.0,40.0,2,20.0,1.0,1.0,2.0,7,4
15,2,0,23,14.796349731886732,18,10.0,27,650.0,26.73,2,0.0,1.0,1.0,2.0,7,2
15,2,129,19,14.670780082567436,18,10.0,29,550.0,26.73,2,0.0,1.0,1.0,2.0,7,2
15,6,243,49,3.886409800910777,18,60.95446226068863,26,0.0,59.0,1,9.0,1.0,0.0,2.0,7,3
16,3,0,45,6.278362168758582,20,15.0,27,200.0,20.0,1,10.0,1.5,1.0,2.0,7,3
16,1,0,45,6.5664511420801075,19,56.02938312797272,13,213.93,26.73,1,0.0,1.0,1.0,2.0,7,3
15,1,311,91,4.686694711182853,19,45.36154805195332,27,0.0,0.0,1,0.0,1.0,1.0,1.0,7,2
15,1,211,69,3.658020953106715,19,68.49361279179863,25,213.93,30.0,2,10.0,1.0,1.0,2.0,7,4
15,1,270,70,4.6313242476079255,20,68.0,12,213.93,31.0,2,12.0,1.0,2.0,4.0,7,6
15,1,0,55,3.3266272453399894,18,57.0,7,350.0,50.0,2,5.0,1.0,2.0,1.0,7,2
16,4,310,45,3.190899058150676,18,43.61743138471979,3,213.93,26.73,1,0.0,1.0,1.0,1.0,7,1
16,4,310,50,3.142130723246445,18,49.82340725634625,3,213.93,26.73,1,0.0,1.0,1.0,1.0,7,2
16,4,279,55,3.067142250432097,18,49.82340725634625,5,213.93,26.73,1,0.0,1.0,1.0,1.0,7,2
15,4,236,93,6.846413808494899,18,68.0,18,100.0,50.0,2,11.0,2.0,2.0,5.0,7,6
16,2,158,175,3.4187743483252,18,115.41472005503198,22,300.0,40.0,1,45.0,1.0,1.0,5.0,7,8
16,4,319,95,3.034053074967253,18,62.23535899959919,3,213.93,26.73,1,0.0,1.0,1.0,2.0,7,4
15,2,0,52,3.559316709058557,18,65.34213777861471,13,0.0,25.0,1,18.0,1.0,1.0,2.0,7,3
15,1,309,59,9.086209686990314,18,20.0,10,0.0,39.0,2,18.0,1.0,1.0,2.0,7,4
